HSCode,Commodity,value,country,year
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,9.14,AFGHANISTAN,2010
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,93.82,AFGHANISTAN,2010
9,"COFFEE, TEA, MATE AND SPICES.",2.54,AFGHANISTAN,2010
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",0.32,AFGHANISTAN,2010
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",37.67,AFGHANISTAN,2010
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0,AFGHANISTAN,2010
18,COCOA AND COCOA PREPARATIONS.,0,AFGHANISTAN,2010
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.01,AFGHANISTAN,2010
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",1.05,AFGHANISTAN,2010
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0,AFGHANISTAN,2010
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",1.25,AFGHANISTAN,2010
30,PHARMACEUTICAL PRODUCTS,0,AFGHANISTAN,2010
38,MISCELLANEOUS CHEMICAL PRODUCTS.,0.01,AFGHANISTAN,2010
39,PLASTIC AND ARTICLES THEREOF.,0,AFGHANISTAN,2010
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",0,AFGHANISTAN,2010
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.07,AFGHANISTAN,2010
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.05,AFGHANISTAN,2010
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0,AFGHANISTAN,2010
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0,AFGHANISTAN,2010
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0,AFGHANISTAN,2010
73,ARTICLES OF IRON OR STEEL,0,AFGHANISTAN,2010
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0.05,AFGHANISTAN,2010
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0,AFGHANISTAN,2010
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",0.02,AFGHANISTAN,2010
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",0,AFGHANISTAN,2010
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",0,AFGHANISTAN,2010
96,MISCELLANEOUS MANUFACTURED ARTICLES.,0.01,AFGHANISTAN,2010
98,PROJECT GOODS; SOME SPECIAL USES.,0,AFGHANISTAN,2010
99,MISCELLANEOUS GOODS.,0,AFGHANISTAN,2010
9,"COFFEE, TEA, MATE AND SPICES.",0,ALBANIA,2010
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.03,ALBANIA,2010
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0,ALBANIA,2010
76,ALUMINIUM AND ARTICLES THEREOF.,0.08,ALBANIA,2010
79,ZINC AND ARTICLES THEREOF.,0,ALBANIA,2010
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.31,ALGERIA,2010
